IDRSSD,Institution Name 
2451,THUNDER BANK
3953,FIRST CAPITAL BANK
15536,PARK NATIONAL BANK
16337,WAKULLA BANK
20370,FIRST HERITAGE BANK
20866,HOME VALLEY BANK
23241,INTEGRA BANK NATIONAL ASSOCIATION
28572,COLUMBIA SAVINGS BANK
30155,SHERMAN COUNTY BANK
30258,THE RIVERBANK
38535,FIRST UNITED BANK
41647,FIRST BANKING CENTER
43173,UNITED COMMERCIAL BANK
54357,THE FIRST STATE BANK
61533,PENINSULA BANK
63359,"MID CITY BANK, INC."
66837,CENTRAL BANK OF GEORGIA
73031,"SECURITY BANK, NATIONAL ASSOCIATION"
76135,HIGHLAND COMMUNITY BANK
84345,CITIZENS STATE BANK
85043,FIRST NATIONAL BANK
89452,HORIZON BANK
91969,SAN JOAQUIN BANK
92630,FLORIDA COMMUNITY BANK
101233,RIVERSIDE NATIONAL BANK OF FLORIDA
104038,THE PARK AVENUE BANK
104430,JASPER BANKING COMPANY
104663,INNOVATIVE BANK
106546,POLK COUNTY BANK
117841,EVERGREEN STATE BANK
123178,BANK OF WHITMAN
124773,SUMMIT BANK
127260,SAN DIEGO NATIONAL BANK
128164,SECURITY PACIFIC BANK
129394,RAINIER PACIFIC BANK
130943,IRWIN UNION BANK AND TRUST COMPANY
139432,HERITAGE BANK OF NORTH FLORIDA
141734,SHOREBANK
143653,STATE BANK OF AURORA
147174,STERLING BANK
147839,FIRST NATIONAL BANK OF GEORGIA
150071,FRONTIER BANK
151331,THE FIRST STATE BANK
152048,THE FIRST STATE BANK OF WINCHESTER
152235,BARTOW COUNTY BANK
156877,BUTLER BANK
159243,MERIDIAN BANK
164032,THE FARMERS BANK OF LYNCHBURG
169073,NOVA BANK
172747,FIRST SUBURBAN NATIONAL BANK
174648,THE FIRST NATIONAL BANK OF BLANCHARDVILLE
181851,"TEAMBANK, N.A."
182157,GATEWAY BANK OF ST LOUIS
184937,COMMUNITY BANK & TRUST
185037,CENTRAL PROGRESSIVE BANK
186650,JENNINGS STATE BANK
187358,THE FREEDOM STATE BANK
191663,COUNTY BANK
197357,ST. STEPHEN STATE BANK
199940,WESTERN SPRINGS NATIONAL BANK AND TRUST
201638,DOUGLAS COUNTY BANK
202550,EXCEL BANK
203753,"FIRST INTEGRITY BANK, N.A."
215130,THE NATIONAL REPUBLIC BANK OF CHICAGO
215756,NORTH HOUSTON BANK
216445,BADGER STATE BANK
219138,THE GORDON BANK
222053,BC NATIONAL BANKS
223238,THE JOHN WARNER BANK
230535,BANKEAST
236452,HEARTLAND BANK
236751,FIRST COMMUNITY BANK
239640,BANK OF SHOREWOOD
249256,DOUGLASS NATIONAL BANK
249555,FIRST STATE BANK OF ALTUS
252836,THE FIRST NATIONAL BANK OF FLORIDA
255136,FRONTIER BANK
259031,"CORUS BANK, N.A."
264941,BANK OF ELMWOOD
268734,BROADWAY BANK
270036,ORION BANK
270335,HABERSHAM BANK
293026,OMNI NATIONAL BANK
295552,"FRANKLIN BANK, SSB"
295637,CITIZENS NATIONAL BANK
296438,COASTAL COMMUNITY BANK
297378,"GREENCHOICE BANK, FSB"
314033,FIRST LOWNDES BANK
316738,GUARANTY NATIONAL BANK
321536,OCALA NATIONAL BANK
337733,THE BANK OF BONIFAY
341178,"BLUE RIDGE SAVINGS BANK, INC."
343341,INDEPENDENT BANKERS' BANK
344236,GULF STATE COMMUNITY BANK
353069,CITIZENS NATIONAL BANK
357375,K BANK
361457,FIRST NATIONAL BANK OF ANTHONY
367851,COMMUNITY NATIONAL BANK
368429,NBRS FINANCIAL BANK
370338,BANK OF LINCOLNWOOD
371353,MAINSTREET BANK
371915,RELIANCE BANK
391249,CORN BELT BANK AND TRUST COMPANY
392031,COMMUNITY NATIONAL BANK AT BARTOW
400253,HILLCREST BANK
402172,FIRST BANK OF BEVERLY HILLS
411464,FIRST NATIONAL BANK OF NEVADA
418342,BENCHMARK BANK
422750,THE COLUMBIAN BANK AND TRUST COMPANY
424343,DUPAGE NATIONAL BANK
440875,"BANK USA, NA"
442039,NATIONAL BANK OF COMMERCE
446336,DARBY BANK & TRUST COMPANY
449926,AMERICAN NATIONAL BANK
449953,SOLUTIONSBANK
450650,TRUST COMPANY BANK
452270,VENTURE BANK
454434,THE PEOPLES BANK
456456,THE FIRST NATIONAL BANK OF OLATHE
456474,CITY BANK
474825,WILLIAMSBURG FIRST NATIONAL BANK
476276,PUBLIC SAVINGS BANK
476810,"CITIBANK, NATIONAL ASSOCIATION"
480228,BANK OF AMERICA N.A.
486752,"CITIBANK (SOUTH DAKOTA), N.A."
486837,ENTERPRISE BANKING COMPANY
489735,UNITED SECURITY BANK
499239,FIRSTCITY BANK
506838,BANK OF HIAWASSEE
508878,HORIZON BANK
509231,NEXITY BANK
516378,SLAVIE FEDERAL SAVINGS BANK
518952,HOME NATIONAL BANK
519267,SANDERSON STATE BANK
522043,FARMERS' AND TRADERS' STATE BANK
533937,COVENANT BANK
535258,THE  BANK OF UNION
536479,LINCOLN PARK SAVINGS BANK
542537,THE ELIZABETH STATE BANK
547279,THE COWLITZ BANK
554745,FOUNDERS BANK
558257,BANK OF WYOMING
559777,R-G PREMIER BANK OF PUERTO RICO
564155,SUN SECURITY BANK
567231,CAPITALSOUTH BANK
569534,MCINTOSH STATE BANK
570231,COLONIAL BANK
574471,STATEWIDE BANK
587574,ARCOLA HOMESTEAD SAVINGS BANK
590855,COMMUNITY SOUTH BANK
605133,FIRST NATIONAL BANK OF CENTRAL FLORIDA
621432,HERITAGE COMMUNITY BANK
622831,SECURITY BANK OF JONES COUNTY
628730,FIRST SECURITY NATIONAL BANK
633837,HERITAGE BANKING GROUP
642370,COOPERATIVE BANK
644178,COLUMBIA RIVER BANK
644936,THE TATNALL BANK
650674,LIBERTYBANK
659257,FIRST NATIONAL BANK
664336,METRO BANK OF DADE COUNTY
666031,THE BANK OF MIAMI
666273,BRAMBLE SAVINGS BANK
669443,CITIZENS FIRST NATIONAL BANK
671576,DORAL BANK
686271,FIRST CHICAGO BANK & TRUST
691079,AMERICAN MARINE BANK
700337,THE FIRST NATIONAL BANK OF DANVILLE
708137,SECURITY BANK OF HOUSTON COUNTY
713038,BANK OF JACKSON COUNTY
720465,ALLIANCE BANK
730754,ACCESS BANK
732945,ROCK RIVER BANK
740258,BANK OF LEETON
740931,"SILVERTON BANK, NATIONAL ASSOCIATION"
744144,PEOTONE BANK AND TRUST COMPANY
747435,"REPUBLIC FEDERAL BANK, N.A."
749046,PEOPLES STATE BANK
749550,THE LA COSTE NATIONAL BANK
750864,CITIBANK (BANAMEX USA)
752970,WESTERNBANK PUERTO RICO
754433,MUTUAL BANK
759540,NORTH MILWAUKEE STATE BANK
761178,PROGRESS BANK OF FLORIDA
770433,HIGH TRUST BANK
785259,COMMUNITY BANKS OF COLORADO
791474,CF BANCORP
807665,"VINEYARD BANK, NATIONAL ASSOCIATION"
821120,BANK OF THE COMMONWEALTH
825977,WAUKEGAN SAVINGS BANK
836151,GLASGOW SAVINGS BANK
843270,COMMUNITY FIRST BANK
853158,ROSEMOUNT NATIONAL BANK
859945,PALOS BANK AND TRUST COMPANY
866279,BANK OF EPHRAIM
868376,BARNES BANKING COMPANY
875954,BANK OF CHOICE
880659,FIRST BANK OF KANSAS CITY
895831,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE
897433,THE COMMUNITY BANK
901956,HUME BANK
904425,BANK OF THE EASTERN SHORE
904957,COLORADO NATIONAL BANK
910042,BANK OF ILLINOIS
921833,VALLEY BANK
938840,"AMCORE BANK, NATIONAL ASSOCIATION"
942838,CHARTER NATIONAL BANK AND TRUST
942874,EVERGREEN BANK
949257,THE FIRST NATIONAL BANK OF DAVIS
967877,GEORGE WASHINGTON SAVINGS BANK
968436,MIDWEST BANK AND TRUST COMPANY
974343,INBANK
974866,FIRST REGIONAL BANK
976477,PACIFIC NATIONAL BANK
